Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6yLX8QnxlnEqZfs3YKCfjF,"Tears Dry On Their Own","Back To Black","Amy Winehouse",2006-10-27,185186,66,11139125490,2019-04-13T10:10:01Z,"","Universal-Island Records Ltd.",0.643,0.871,1,-2.734,0,0.118,0.491,0,0.29,0.452,121.569,4
spotify:track:5JWPUEov2wlX7c0jhYZpeB,"Lost In Yesterday","The Slow Rush","Tame Impala",2020-02-14,249586,71,11139125490,2024-08-29T18:24:21Z,"indie,psychedelic pop","Universal Music Australia Pty. Ltd.",0.569,0.84,1,-4.123,1,0.118,0.0295,0.000118,0.0995,0.749,183.059,3
spotify:track:6NMtzpDQBTOfJwMzgMX0zl,"SKELETONS","ASTROWORLD","Travis Scott",2018-08-03,145588,80,11139125490,2024-08-29T18:24:21Z,"rap","Cactus Jack / Epic",0.46,0.686,0,-5.948,0,0.0367,0.00146,0,0.375,0.252,148.054,4
spotify:track:5ozqshq2dtU7SYCpCBu0NE,"One More Year","The Slow Rush","Tame Impala",2020-02-14,324013,59,11139125490,2024-08-29T18:24:21Z,"indie,psychedelic pop","Universal Music Australia Pty. Ltd.",0.602,0.88,1,-5.414,1,0.0354,0.057,0.46,0.284,0.493,114.009,4
spotify:track:1OPkXWnIK8RYyWTp3NWvM9,"Ice Melt","Ice Melt","Crumb",2021-04-30,148946,65,11139125490,2024-08-29T18:24:21Z,"psychedelic pop,bedroom pop","Crumb Records",0.593,0.265,9,-10.168,1,0.0782,0.761,0.826,0.142,0.457,176.12,4
spotify:track:6xHMi6HSt7yJvm3n81JZn6,"Magic Hour","Luna","¿Téo?",2023-08-18,75200,60,11139125490,2024-08-29T18:24:21Z,"","49 Digits LLC",0.641,0.546,1,-9.776,0,0.043,0.243,0.978,0.594,0.885,106.071,4
spotify:track:4A48ckONJNoXU5smWT9CeG,"If You Don't Want My Love","Come Around and Love Me","Jalen Ngonda",2023-09-08,146813,78,11139125490,2024-08-29T18:24:21Z,"retro soul","Daptone Records",0.595,0.776,11,-5.772,0,0.0386,0.129,0.000602,0.246,0.933,92.881,4
spotify:track:5DEitTu33CUjozBijXiLNb,"Some Unholy War","Back To Black (Deluxe Edition)","Amy Winehouse",2006,142693,56,11139125490,2024-08-29T18:24:21Z,"","Universal-Island Records Ltd.",0.489,0.435,9,-15.558,0,0.163,0.0856,0.0000391,0.113,0.455,175.865,4
spotify:track:1BktkzhQ6rhP1jTREtUdPK,"(It Goes Like) Nanana - Edit","I Hear You","Peggy Gou",2024-06-07,231545,69,11139125490,2024-08-29T18:24:21Z,"","XL Recordings",0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998,4
spotify:track:791axfvcxhr0EAckDbPl0v,"Bipolar","Fake Can Be Just as Good","Blonde Redhead",1997-03-11,302466,28,11139125490,2024-08-29T18:24:21Z,"shoegaze,dream pop","Touch and Go Records",0.541,0.815,6,-9.113,1,0.0291,0.276,0.442,0.0797,0.528,125.038,4
spotify:track:68fAZuqk7syp8Dvqj4KPCn,"Mr Wrong","Promise","Sade",1985-11-04,171360,55,11139125490,2024-08-29T18:24:21Z,"","Sony Music UK",0.356,0.415,4,-10.428,0,0.0406,0.797,0.167,0.0836,0.471,169.614,3
spotify:track:1KfdjFD7LLFRZZVt9yI4c1,"Darling Are You Gonna Leave Me","If You Wait (Deluxe Version)","London Grammar",2013-01-01,180760,0,11139125490,2024-08-29T18:24:21Z,"","Island Records",0.749,0.549,11,-9.097,0,0.0379,0.496,0.000152,0.0991,0.234,124.049,4
spotify:track:5vmRQ3zELMLUQPo2FLQ76x,"Smalltown Boy","The Age of Consent","Bronski Beat",1984-10-15,302413,81,11139125490,2024-08-29T18:24:21Z,"synthpop,hi-nrg","London Records (Because Ltd)",0.685,0.584,5,-10.616,0,0.0276,0.29,0.01,0.124,0.94,134.546,4
spotify:track:1waLmkUyMq0M5ACmf5SG7q,"Missing - Todd Terry Remix","Amplified Heart (Deluxe Edition)","Everything But The Girl,Todd Terry",1994-06-13,236293,73,11139125490,2024-08-29T18:24:21Z,"chicago house,hip house,house","Chrysalis Records",0.723,0.721,9,-9.389,0,0.0301,0.0249,0.0108,0.0545,0.646,123.488,4
spotify:track:5X6w3HTzel2k1dDzrntIy9,"O","O","Teoman",1998-06-19,149333,40,11139125490,2024-08-29T18:24:21Z,"anatolian rock,turkish pop","EMI - Kent Elektronik Sanayi ve Ticaret A.S.",0.449,0.513,7,-9.177,1,0.0285,0.314,0.000611,0.297,0.741,149.957,4
spotify:track:1JpcqmUlzNlK7lpFOkszzv,"Beverly Laurel","Lonerism B-Sides & Remixes","Tame Impala",2013-03-01,190489,57,11139125490,2024-08-29T18:24:21Z,"indie,psychedelic pop","Universal Music Australia Pty. Ltd.",0.591,0.762,4,-6.523,0,0.172,0.252,0.605,0.0618,0.716,111.973,4
spotify:track:6qZjm61s6u8Ead9sWxCDro,"Elephant","Lonerism","Tame Impala",2012-01-01,211226,74,11139125490,2024-08-29T18:24:21Z,"indie,psychedelic pop","Modular",0.598,0.553,9,-6.742,0,0.0397,0.562,0.157,0.257,0.533,123.075,4
spotify:track:7qU7vhCPKhkDiJYGoboISc,"Apocalypse Dreams","Lonerism","Tame Impala",2012-01-01,356946,58,11139125490,2024-08-29T18:24:21Z,"indie,psychedelic pop","Modular",0.496,0.929,8,-2.279,1,0.0503,0.249,0.131,0.0677,0.267,127.998,4
