Artist,Popularity_min,Popularity_max,Popularity_mean,Popularity_var,Danceability_min,Danceability_max,Danceability_mean,Danceability_var,Energy_min,Energy_max,Energy_mean,Energy_var,Loudness_min,Loudness_max,Loudness_mean,Loudness_var,Speechiness_min,Speechiness_max,Speechiness_mean,Speechiness_var,Acousticness_min,Acousticness_max,Acousticness_mean,Acousticness_var,Instrumentalness_min,Instrumentalness_max,Instrumentalness_mean,Instrumentalness_var,Liveness_min,Liveness_max,Liveness_mean,Liveness_var,Valence_min,Valence_max,Valence_mean,Valence_var,Tempo_min,Tempo_max,Tempo_mean,Tempo_var,Genre_classical,Genre_rap,Genre_r&b,Genre_industrial,Genre_indie,Genre_opera,Genre_neo soul,Genre_orchestra,Genre_psychedelic rock,Genre_soundtrack,Genre_art pop,Genre_german hip hop,Genre_classic rock,Genre_electro,Genre_bedroom pop,Genre_electronic,Genre_art rock,Genre_alternative r&b,Genre_reggae,Genre_singer-songwriter,Key_<lambda>,Mode_<lambda>,Time Signature_<lambda>,Track_Count
070 Shake,82,82,82.0,,0.538,0.538,0.538,,0.742,0.742,0.742,,-5.355,-5.355,-5.355,,0.114,0.114,0.114,,0.138,0.138,0.138,,4.67e-05,4.67e-05,4.67e-05,,0.0934,0.0934,0.0934,,0.25,0.25,0.25,,96.107,96.107,96.107,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1
112,33,33,33.0,,0.862,0.862,0.862,,0.479,0.479,0.479,,-9.199,-9.199,-9.199,,0.0645,0.0645,0.0645,,0.0523,0.0523,0.0523,,0.00126,0.00126,0.00126,,0.589,0.589,0.589,,0.924,0.924,0.924,,109.877,109.877,109.877,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,4,1
21 Savage,57,82,75.33333333333333,84.66666666666666,0.612,0.847,0.743,0.009832400000000002,0.353,0.733,0.6124999999999999,0.0199511,-9.931,-4.481,-6.735333333333333,3.6090602666666656,0.0673,0.369,0.1486333333333333,0.012749266666666667,0.00574,0.59,0.18054,0.04675940959999999,0.0,0.00772,0.0014969266666666665,9.543254566666668e-06,0.0655,0.456,0.20708333333333337,0.024194041666666673,0.0731,0.501,0.25601666666666667,0.02257948166666667,76.985,164.023,127.51733333333334,1371.2840378666665,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6
33A,39,39,39.0,,0.78,0.78,0.78,,0.346,0.346,0.346,,-9.831,-9.831,-9.831,,0.0885,0.0885,0.0885,,0.809,0.809,0.809,,0.000118,0.000118,0.000118,,0.0992,0.0992,0.0992,,0.676,0.676,0.676,,120.122,120.122,120.122,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,1
4 Non Blondes,3,3,3.0,,0.566,0.566,0.566,,0.57,0.57,0.57,,-9.875,-9.875,-9.875,,0.0285,0.0285,0.0285,,0.156,0.156,0.156,,0.0,0.0,0.0,,0.118,0.118,0.118,,0.491,0.491,0.491,,134.537,134.537,134.537,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,1
4 de la Cera,1,1,1.0,,0.854,0.854,0.854,,0.745,0.745,0.745,,-6.617,-6.617,-6.617,,0.0608,0.0608,0.0608,,0.323,0.323,0.323,,3.22e-06,3.22e-06,3.22e-06,,0.0894,0.0894,0.0894,,0.922,0.922,0.922,,120.052,120.052,120.052,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,1
40 Thieves,61,61,61.0,,0.955,0.955,0.955,,0.477,0.477,0.477,,-8.381,-8.381,-8.381,,0.145,0.145,0.145,,0.018,0.018,0.018,,0.662,0.662,0.662,,0.0987,0.0987,0.0987,,0.741,0.741,0.741,,116.997,116.997,116.997,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,4,1
4am Kru,47,47,47.0,,0.426,0.426,0.426,,0.876,0.876,0.876,,-4.81,-4.81,-4.81,,0.055,0.055,0.055,,0.0226,0.0226,0.0226,,0.583,0.583,0.583,,0.269,0.269,0.269,,0.13,0.13,0.13,,87.817,87.817,87.817,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1
A Great Big World,72,72,72.0,,0.407,0.407,0.407,,0.147,0.147,0.147,,-8.822,-8.822,-8.822,,0.0355,0.0355,0.0355,,0.857,0.857,0.857,,2.89e-06,2.89e-06,2.89e-06,,0.0913,0.0913,0.0913,,0.0765,0.0765,0.0765,,141.284,141.284,141.284,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1
A$AP Ferg,68,70,69.0,2.0,0.788,0.791,0.7895000000000001,4.499999999999842e-06,0.715,0.839,0.7769999999999999,0.0076880000000000065,-5.211,-4.284,-4.7475000000000005,0.4296645000000009,0.119,0.266,0.1925,0.010804500000000003,0.0588,0.698,0.37839999999999996,0.20428831999999997,0.0,6.26e-05,3.13e-05,1.9593800000000003e-09,0.152,0.259,0.20550000000000002,0.0057244999999999996,0.383,0.819,0.601,0.09504799999999998,81.523,170.113,125.818,3924.09405,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,2
