Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3Y1EvIgEVw51XtgNEgpz5c,"Von dutch","BRAT","Charli xcx",2024-06-07,164284,85,11139125490,2025-05-08T07:44:00Z,"hyperpop,art pop","Atlantic Records",0.706,0.698,10,-5.679,1,0.0537,0.00298,0.00375,0.116,0.648,130.013,4
spotify:track:0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!","Good Luck, Babe!","Chappell Roan",2024-04-05,218423,95,11139125490,2025-05-08T07:44:00Z,"","Chappell Roan PS/ Island",0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
spotify:track:2HRqTpkrJO5ggZyyK6NPWz,"Espresso","Short n' Sweet","Sabrina Carpenter",2024-08-23,175459,91,11139125490,2025-05-08T07:44:00Z,"","Island Records",0.699,0.776,0,-5.282,1,0.0293,0.131,0.00000536,0.205,0.708,103.963,4
spotify:track:73mlvsfJM2qwlDUJxeaatI,"Daft Punk Is Playing at My House","LCD Soundsystem","LCD Soundsystem",2005-01-24,314556,62,11139125490,2025-05-08T07:44:00Z,"alternative dance,electronic rock,new rave","Parlophone UK",0.92,0.914,7,-4.555,1,0.0444,0.0222,0.0000762,0.114,0.974,135.923,4
spotify:track:0IsIY8pfu1yaGkPUD7pkDx,"Guess featuring billie eilish","Brat and it’s completely different but also still brat","Charli xcx,Billie Eilish",2024-10-11,143330,87,11139125490,2025-05-08T07:44:00Z,"hyperpop,art pop","Atlantic Records",0.78,0.713,0,-4.493,1,0.0888,0.0167,0.206,0.144,0.615,130.034,4
spotify:track:2RdEC8Ff83WkX7kDVCHseE,"party 4 u","how i'm feeling now","Charli xcx",2020-05-15,296653,89,11139125490,2025-05-08T07:44:00Z,"hyperpop,art pop","Atlantic Records UK",0.579,0.522,1,-8.393,1,0.0993,0.761,0.0000141,0.655,0.245,79.453,4
spotify:track:4w2GLmK2wnioVnb5CPQeex,"360","BRAT","Charli xcx",2024-06-07,133805,83,11139125490,2025-05-08T07:44:00Z,"hyperpop,art pop","Atlantic Records",0.857,0.62,0,-8.13,1,0.0472,0.646,0.244,0.0934,0.796,120.042,4
spotify:track:19RybK6XDbAVpcdxSbZL1o,"Apple","BRAT","Charli xcx",2024-06-07,151739,84,11139125490,2025-05-08T07:44:00Z,"hyperpop,art pop","Atlantic Records",0.804,0.957,0,-5.452,1,0.034,0.125,0.0174,0.114,0.962,126.035,4
spotify:track:4wTvw1dBiPXNiHTh0zzpcI,"B2b","BRAT","Charli xcx",2024-06-07,178579,82,11139125490,2025-05-08T07:44:00Z,"hyperpop,art pop","Atlantic Records",0.769,0.771,1,-3.12,1,0.0436,0.000783,0.671,0.0537,0.37,116.027,3
spotify:track:7srqyRb5plksW5k65itXDB,"Girl, so confusing featuring lorde","Brat and it’s completely different but also still brat","Charli xcx,Lorde",2024-10-11,205938,81,11139125490,2025-05-08T07:44:00Z,"hyperpop,art pop","Atlantic Records",0.707,0.8,11,-5.567,0,0.0544,0.128,0.0000259,0.3,0.354,124.991,4
spotify:track:5h68SoVFGleijCtjEja3xG,"365","BRAT","Charli xcx",2024-06-07,203618,81,11139125490,2025-05-08T07:44:00Z,"hyperpop,art pop","Atlantic Records",0.761,0.856,1,-5.121,1,0.109,0.154,0.503,0.16,0.729,127.111,4
spotify:track:4t9PBD27dndlf6YMBK2ROc,"Track 10","Pop 2","Charli xcx",2017-12-15,326906,79,11139125490,2025-05-08T07:44:00Z,"hyperpop,art pop","Atlantic Records UK",0.64,0.652,5,-5.07,1,0.0383,0.212,0,0.0814,0.273,100.065,4
spotify:track:7CwWhMGWICOl2ICwbk3QTE,"Talk talk featuring troye sivan","Brat and it’s completely different but also still brat","Charli xcx,Troye Sivan",2024-10-11,173076,76,11139125490,2025-05-08T07:44:00Z,"hyperpop,art pop","Atlantic Records",0.731,0.817,8,-5.595,1,0.0791,0.0196,0.00000613,0.349,0.661,130.032,4
spotify:track:6393yGahSJ9slVdOwSxOVR,"Pink Pony Club","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-21,258034,88,11139125490,2025-05-08T07:44:00Z,"","Chappell Roan PS/ Island",0.61,0.65,6,-6.199,1,0.0474,0.399,0,0.11,0.507,106.719,4
spotify:track:3j6CeoBBlm40Msn1JE1SPD,"HOT TO GO!","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-21,184841,83,11139125490,2025-05-08T07:44:00Z,"","Chappell Roan PS/ Island",0.742,0.757,6,-4.981,1,0.0421,0.0187,0,0.305,0.957,139.982,4
spotify:track:5xHgo5JN0wfsV41HnRaos5,"The Giver","The Giver","Chappell Roan",2025-03-13,202768,88,11139125490,2025-05-08T07:44:00Z,"","Chappell Roan PS/ Island",0.558,0.901,4,-3.208,1,0.0583,0.0731,0,0.348,0.678,93.024,4
spotify:track:7FOgcfdz9Nx5V9lCNXdBYv,"Red Wine Supernova","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-22,192720,85,11139125490,2025-05-08T07:44:00Z,"","Chappell Roan PS/ Island",0.657,0.82,9,-4.448,1,0.0441,0.0176,0,0.0847,0.709,124.041,4
spotify:track:3WSOUb3U7tqURbBSgZTrZX,"Casual","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-22,232796,85,11139125490,2025-05-08T07:44:00Z,"","Chappell Roan PS/ Island",0.508,0.411,1,-6.95,1,0.0269,0.226,0,0.0571,0.34,131.008,4
spotify:track:53IRnAWx13PYmoVYtemUBS,"Femininomenon","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-22,219710,82,11139125490,2025-05-08T07:44:00Z,"","Chappell Roan PS/ Island",0.609,0.758,0,-4.885,0,0.0525,0.139,0.00000538,0.11,0.236,124.949,4
spotify:track:3bFC4mJkgF9HvTU1mncW7x,"My Kink Is Karma","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-21,222578,78,11139125490,2025-05-08T07:44:00Z,"","Chappell Roan PS/ Island",0.555,0.599,2,-5.695,1,0.052,0.00925,0,0.102,0.415,86.727,4
spotify:track:4LKYOetuIF5c9XjeLBL9av,"Naked In Manhattan","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-22,211057,79,11139125490,2025-05-08T07:44:00Z,"","Chappell Roan PS/ Island",0.771,0.704,1,-5.098,1,0.0315,0.0835,0,0.0935,0.55,118.01,4
spotify:track:2Pspo5BWPcTnMHMstLFRHV,"Picture You","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-21,187130,74,11139125490,2025-05-08T07:44:00Z,"","Chappell Roan PS/ Island",0.354,0.468,4,-5.415,1,0.0334,0.4,0,0.138,0.281,160.586,3
spotify:track:5G2f63n7IPVPPjfNIGih7Q,"Taste","Short n' Sweet","Sabrina Carpenter",2024-08-23,157279,92,11139125490,2025-05-08T07:44:00Z,"","Island Records",0.674,0.907,3,-4.086,1,0.064,0.101,0,0.297,0.721,112.964,4
spotify:track:2tHwzyyOLoWSFqYNjeVMzj,"Please Please Please","Short n' Sweet","Sabrina Carpenter",2024-08-23,186365,88,11139125490,2025-05-08T07:44:00Z,"","Island Records",0.675,0.586,9,-6.086,1,0.0531,0.257,0,0.104,0.621,107.015,4
